Date,Product,Number of Sales,Weather,Holiday,Weekend,Price,Address
05/27/2022,Sushi 1,0,Cloudy,No,False,6.67,456
05/27/2022,Steak 2,3,Cloudy,No,False,6.56,789
05/27/2022,Steak 2,20,Cloudy,No,False,7.08,456
05/27/2022,Steak 2,14,Cloudy,No,False,11.3,123
05/27/2022,Steak 1,7,Cloudy,No,False,10.6,789
05/27/2022,Steak 1,10,Cloudy,No,False,23.11,456
05/27/2022,Steak 1,7,Cloudy,No,False,24.84,123
05/27/2022,Tacos 3,20,Cloudy,No,False,18.93,789
05/27/2022,Tacos 3,18,Cloudy,No,False,16.27,123
05/27/2022,Tacos 2,10,Cloudy,No,False,12.32,123
05/27/2022,Tacos 1,15,Cloudy,No,False,10.32,789
05/27/2022,Tacos 1,16,Cloudy,No,False,11.25,456
05/27/2022,Tacos 3,16,Cloudy,No,False,15.89,456
05/27/2022,Ramen 3,6,Cloudy,No,False,6.08,789
05/27/2022,Tacos 1,12,Cloudy,No,False,8.62,123
05/27/2022,Sushi 1,15,Cloudy,No,False,12.55,789
05/27/2022,Sushi 2,8,Cloudy,No,False,10.34,123
05/27/2022,Sushi 2,4,Cloudy,No,False,12.83,456
05/27/2022,Sushi 2,1,Cloudy,No,False,20.79,789
05/27/2022,Ramen 1,19,Cloudy,No,False,18.99,456
05/27/2022,Ramen 1,15,Cloudy,No,False,21.9,123
05/27/2022,Ramen 2,0,Cloudy,No,False,9.35,123
05/27/2022,Ramen 2,16,Cloudy,No,False,12.33,456
05/27/2022,Ramen 3,0,Cloudy,No,False,21.62,123
05/27/2022,Ramen 3,1,Cloudy,No,False,13.29,456
05/27/2022,Ramen 1,0,Cloudy,No,False,17.66,789
05/30/2022,Tacos 1,17,Cloudy,No,False,11.52,789
05/30/2022,Tacos 2,7,Cloudy,No,False,14.02,123
05/30/2022,Tacos 2,16,Cloudy,No,False,19.5,456
05/30/2022,Tacos 2,10,Cloudy,No,False,13.13,789
05/30/2022,Tacos 3,4,Cloudy,No,False,7.75,123
05/30/2022,Tacos 3,0,Cloudy,No,False,11.78,456
05/30/2022,Steak 1,11,Cloudy,No,False,14.58,456
05/30/2022,Steak 1,9,Cloudy,No,False,15.35,123
05/30/2022,Steak 1,7,Cloudy,No,False,7.88,789
05/30/2022,Steak 2,0,Cloudy,No,False,20.03,123
05/30/2022,Steak 2,15,Cloudy,No,False,5.85,456
05/30/2022,Tacos 1,16,Cloudy,No,False,5.68,456
05/30/2022,Tacos 3,20,Cloudy,No,False,9.46,789
05/30/2022,Tacos 1,8,Cloudy,No,False,11.59,123
05/30/2022,Steak 2,20,Cloudy,No,False,7.14,789
05/30/2022,Ramen 3,12,Cloudy,No,False,12.36,456
05/30/2022,Sushi 1,7,Cloudy,No,False,9.16,123
05/30/2022,Sushi 1,4,Cloudy,No,False,5.24,456
05/30/2022,Sushi 1,16,Cloudy,No,False,16.77,789
05/30/2022,Sushi 2,19,Cloudy,No,False,5.6,123
05/30/2022,Sushi 2,2,Cloudy,No,False,7.52,456
05/30/2022,Sushi 2,3,Cloudy,No,False,13.94,789
05/30/2022,Ramen 3,0,Cloudy,No,False,24.68,789
05/30/2022,Ramen 1,1,Cloudy,No,False,10.44,456
05/30/2022,Ramen 1,3,Cloudy,No,False,18.26,789
05/30/2022,Ramen 2,3,Cloudy,No,False,17.07,123
05/30/2022,Ramen 2,0,Cloudy,No,False,18.42,456
05/30/2022,Ramen 2,7,Cloudy,No,False,23.33,789
05/30/2022,Ramen 3,19,Cloudy,No,False,13.22,123
05/30/2022,Ramen 1,17,Cloudy,No,False,15.74,123
06/03/2022,Tacos 1,20,Cloudy,No,False,14.49,456
06/03/2022,Tacos 2,3,Cloudy,No,False,20.33,123
06/03/2022,Tacos 2,17,Cloudy,No,False,16.93,456
06/03/2022,Tacos 2,11,Cloudy,No,False,20.67,789
06/03/2022,Tacos 3,9,Cloudy,No,False,22.72,123
06/03/2022,Steak 1,17,Cloudy,No,False,24.02,456
06/03/2022,Tacos 3,11,Cloudy,No,False,5.24,789
06/03/2022,Steak 1,19,Cloudy,No,False,16.86,123
06/03/2022,Steak 1,12,Cloudy,No,False,20.5,789
06/03/2022,Steak 2,5,Cloudy,No,False,23.51,123
06/03/2022,Steak 2,13,Cloudy,No,False,15.48,456
06/03/2022,Tacos 1,16,Cloudy,No,False,10.45,123
06/03/2022,Tacos 3,19,Cloudy,No,False,18.29,456
06/03/2022,Ramen 3,14,Cloudy,No,False,9.76,789
06/03/2022,Ramen 3,13,Cloudy,No,False,18.26,123
06/03/2022,Ramen 3,6,Cloudy,No,False,12.75,456
06/03/2022,Sushi 1,0,Cloudy,No,False,21.24,123
06/03/2022,Sushi 1,3,Cloudy,No,False,6.8,789
06/03/2022,Sushi 2,7,Cloudy,No,False,14.62,123
06/03/2022,Sushi 2,10,Cloudy,No,False,5.73,789
06/03/2022,Sushi 2,9,Cloudy,No,False,21.3,456
06/03/2022,Ramen 1,14,Cloudy,No,False,9.35,456
06/03/2022,Ramen 1,0,Cloudy,No,False,7.33,789
06/03/2022,Ramen 2,12,Cloudy,No,False,11.12,123
06/03/2022,Ramen 2,8,Cloudy,No,False,17.71,456
06/03/2022,Ramen 2,8,Cloudy,No,False,11.6,789
06/04/2022,Steak 2,13,Cloudy,No,False,5.91,789
06/04/2022,Tacos 1,15,Cloudy,No,False,6.67,456
06/04/2022,Tacos 1,20,Cloudy,No,False,22.88,789
06/04/2022,Tacos 2,8,Cloudy,No,False,20.9,123
06/04/2022,Tacos 2,18,Cloudy,No,False,22.06,456
06/04/2022,Tacos 2,2,Cloudy,No,False,23.62,789
06/04/2022,Tacos 3,16,Cloudy,No,False,14.59,123
06/04/2022,Steak 1,14,Cloudy,No,False,20.12,123
06/04/2022,Tacos 3,2,Cloudy,No,False,13.24,789
06/04/2022,Steak 1,3,Cloudy,No,False,22.62,456
06/04/2022,Steak 1,10,Cloudy,No,False,23.91,789
06/04/2022,Steak 2,15,Cloudy,No,False,6.97,123
06/04/2022,Tacos 1,13,Cloudy,No,False,16.67,123
06/04/2022,Steak 2,8,Cloudy,No,False,8.74,456
06/04/2022,Ramen 3,1,Cloudy,No,False,24.86,789
